Muestra,Valor
0,6
1,282
2,298
3,293
4,266
5,222
6,175
7,128
8,106
9,103
10,128
11,169
12,220
13,271
14,299
15,496
16,292
17,11031
18,163
19,125
20,106
21,93
22,118
23,151
24,201
25,246
26,282
27,298
28,293
29,266
30,222
31,175
32,128
33,106
34,103
35,128
36,169
37,220
38,271
39,299
40,496
41,292
42,11031
43,96
44,101
45,116
46,139
47,166
48,194
49,223
50,246
51,271
52,287
53,289
54,285
55,277
56,257
57,21
58,186
59,143
60,114
61,90
62,80
63,85
64,103
65,120
66,157
67,192
68,231
69,273
70,285
71,289
72,284
73,277
74,244
75,202
76,167
77,131
78,108
79,102
80,121
81,141
82,170
83,215
84,260
85,292
86,311
87,313
88,295
89,260
90,216
91,173
92,141
93,119
94,121
95,132
96,192
97,227
98,262
99,315
100,325
101,309
102,273
103,227
104,423
105,133
106,45
107,107
108,135
109,185
110,253
111,282
112,303
113,300
114,273
115,217
116,159
117,119
118,101
119,112
120,145
121,204
122,261
123,294
124,298
125,269
126,218
127,161
128,109
129,90
130,112
131,153
132,209
133,262
134,288
135,299
136,223
137,174
138,122
139,79
140,88
141,134
142,194
143,256
144,289
145,282
146,241
147,168
148,119
149,93
150,121
151,171
152,234
153,284
154,301
155,283
156,230
157,167
158,122
159,105
160,130
161,174
162,229
163,284
164,312
165,306
166,268
167,210
168,158
169,124
170,116
171,137
172,182
173,235
174,297
175,304
176,331
177,289
178,220
179,180
180,135
181,117
182,131
183,153
184,210
185,249
186,297
187,307
188,307
189,275
190,220
191,174
192,136
193,51
194,105
195,121
196,155
197,203
198,249
199,284
200,297
201,296
202,274
203,236
204,186
205,146
206,113
207,94
208,95
209,115
210,150
211,193
212,228
213,263
214,280
215,311
216,271
217,252
218,205
219,179
220,140
221,104
222,85
223,80
224,94
225,118
226,158
227,186
228,229
229,261
230,287
231,297
232,292
233,290
234,276
235,245
236,212
237,184
238,153
239,131
240,125
241,110
242,108
243,119
244,143
245,166
246,192
247,223
248,252
249,278
250,301
251,312
252,3
253,323
254,266
255,279
256,242
257,200
258,185
259,157
260,145
261,127
262,108
263,111
264,128
265,130
266,147
267,171
268,188
269,211
270,228
271,244
272,260
273,274
274,286
275,292
276,293
277,298
278,301
279,297
280,292
281,288
282,279
283,266
284,253
285,245
286,227
287,213
288,202
289,194
290,166
291,163
292,145
293,111
294,111
295,98
296,93
297,82
298,80
299,84
300,83
301,100
302,103
303,124
304,147
305,161
306,179
307,198
308,227
309,247
310,267
311,281
312,297
313,299
314,306
315,306
316,309
317,284
318,257
319,238
320,213
321,188
322,164
323,146
324,130
325,114
326,109
327,116
328,133
329,144
330,179
331,199
332,220
333,269
334,275
335,294
336,308
337,319
338,309
339,295
340,258
341,216
342,194
343,156
344,143
345,119
346,107
347,110
348,125
349,159
350,191
351,230
352,260
353,287
354,297
355,297
356,286
357,258
358,227
359,184
360,145
361,115
362,97
363,96
364,110
365,139
366,188
367,224
368,267
369,282
370,307
371,289
372,232
373,204
374,150
375,108
376,87
377,83
378,98
379,135
380,170
381,228
382,274
383,291
384,290
385,258
386,221
387,177
388,135
389,106
390,95
391,121
392,160
393,212
394,260
395,304
396,320
397,292
398,246
399,196
400,148
401,118
402,112
403,141
404,192
405,244
406,294
407,312
408,310
409,252
410,206
411,142
412,111
413,114
414,142
415,197
416,263
417,313
418,317
419,289
420,236
421,163
422,106
423,102
424,147
425,203
426,269
427,298
428,304
429,275
430,212
431,148
432,106
433,108
434,146
435,202
436,260
437,295
438,296
439,255
440,195
441,137
442,100
443,98
444,128
445,187
446,238
447,287
448,296
449,277
450,227
451,162
452,105
453,74
454,99
455,137
456,188
457,236
458,275
459,282
460,277
461,243
462,176
463,124
464,106
465,84
466,123
467,151
468,208
469,259
470,292
471,303
472,285
473,251
474,199
475,161
476,128
477,105
478,113
479,147
480,196
481,241
482,283
483,313
484,314
485,305
486,269
487,231
488,180
489,133
490,106
491,102
492,119
493,143
494,205
495,249
496,280
497,305
498,318
499,308
